Year,lat,lng,T2M_1,T2M_MAX_1,T2M_MIN_1,PS_1,PW_1
2000.000000,-36.750000,-62.750000,24.467419,31.406129,17.241613,99.660323,1.117742
2000.000000,-36.750000,-62.250000,24.326129,31.331935,16.938065,99.641935,1.117742
2000.000000,-36.750000,-61.750000,24.064194,31.186452,16.480645,99.564194,1.117742
2000.000000,-36.750000,-61.250000,24.087097,31.531290,16.230000,99.618065,1.117742
2000.000000,-36.250000,-63.250000,24.330000,31.068065,17.345161,99.695806,1.117742
2000.000000,-36.250000,-62.750000,24.468387,31.350323,17.325161,99.825806,1.117742
2000.000000,-36.250000,-62.250000,24.451613,31.450323,17.138387,99.884194,1.117742
2000.000000,-36.250000,-61.750000,24.363548,31.407419,16.897097,99.913871,1.117742
2000.000000,-36.250000,-61.250000,24.515161,31.771935,16.822258,99.959355,1.117742
2001.000000,-40.750000,-63.250000,23.406129,30.549355,16.244839,100.379677,1.634839
2001.000000,-40.750000,-62.750000,22.457097,28.109677,16.910645,100.579677,1.738387
2001.000000,-40.750000,-62.250000,21.058387,24.621935,17.652581,100.745161,1.738387
2001.000000,-40.750000,-61.750000,19.666774,21.493226,17.984839,100.847097,1.923548
2001.000000,-40.750000,-61.250000,18.809032,20.123548,17.632258,100.875806,1.923548
2001.000000,-40.250000,-63.250000,24.839355,32.970968,16.577097,100.325806,1.634839
2001.000000,-40.250000,-62.750000,23.970645,31.034194,17.102581,100.544194,1.738387
2001.000000,-40.250000,-62.250000,22.478065,27.264194,17.953871,100.736774,1.738387
2001.000000,-40.250000,-61.750000,20.778065,23.052258,18.605161,100.857742,1.923548
2001.000000,-40.250000,-61.250000,19.681935,21.173548,18.329355,100.894516,1.923548
2001.000000,-39.750000,-63.250000,25.536129,33.750968,17.133871,100.282903,1.775161
2001.000000,-39.750000,-62.750000,24.913548,32.550968,17.486129,100.562903,1.908065
2001.000000,-39.750000,-62.250000,23.528065,29.073871,18.288387,100.760000,1.908065
2001.000000,-39.750000,-61.750000,21.744839,24.514516,19.103226,100.870323,2.076129
2001.000000,-39.750000,-61.250000,20.599032,22.406774,18.965161,100.909677,2.076129
2001.000000,-39.250000,-63.250000,25.984194,34.184839,17.680323,100.258387,1.775161
2001.000000,-39.250000,-62.750000,25.512581,33.312581,17.910000,100.558065,1.908065
2001.000000,-39.250000,-62.250000,24.460645,30.741935,18.417742,100.733548,1.908065
2001.000000,-39.250000,-61.750000,23.092258,27.326774,18.914516,100.790323,2.076129
2001.000000,-39.250000,-61.250000,22.165484,25.667742,18.741290,100.826129,2.076129
2001.000000,-38.750000,-63.250000,26.180645,34.298065,18.064839,100.065161,1.923871
2001.000000,-38.750000,-62.750000,25.677097,33.482903,18.042258,100.100968,1.991613
2001.000000,-38.750000,-62.250000,24.994516,32.225806,17.983871,99.998387,1.991613
2001.000000,-38.750000,-61.750000,24.239355,30.908065,17.761935,99.824194,2.044516
2001.000000,-38.750000,-61.250000,23.614516,30.232581,17.197097,99.842581,2.044516
2001.000000,-38.250000,-63.250000,25.818710,33.849355,17.884839,99.331290,1.923871
2001.000000,-38.250000,-62.750000,25.213871,33.228065,17.428387,98.943871,1.991613
2001.000000,-38.250000,-62.250000,24.508387,32.508710,16.808387,98.435806,1.991613
2001.000000,-38.250000,-61.750000,23.840323,31.846774,16.153871,98.093871,2.044516
2001.000000,-38.250000,-61.250000,23.523871,31.604839,15.731290,98.577097,2.044516
2001.000000,-37.750000,-63.250000,25.391935,33.367097,17.602581,98.872258,2.100645
2001.000000,-37.750000,-62.750000,24.588065,32.444839,16.981935,98.370968,2.144516
2001.000000,-37.750000,-62.250000,23.732903,31.535161,16.179032,97.862258,2.144516
2001.000000,-37.750000,-61.750000,23.071290,30.867419,15.456774,97.705806,2.228710
2001.000000,-37.750000,-61.250000,22.913871,30.719032,15.199032,98.450645,2.228710
2001.000000,-37.250000,-63.250000,25.381290,33.154839,17.791290,99.176452,2.100645
2001.000000,-37.250000,-62.750000,24.624839,32.148710,17.252258,99.014839,2.144516
2001.000000,-37.250000,-62.250000,23.840968,31.242903,16.535484,98.800000,2.144516
2001.000000,-37.250000,-61.750000,23.161613,30.538065,15.816774,98.712903,2.228710
2001.000000,-37.250000,-61.250000,22.680000,30.025161,15.271935,99.008387,2.228710
2001.000000,-36.750000,-63.250000,25.444839,33.030968,17.998387,99.462903,2.399355
2001.000000,-36.750000,-62.750000,24.735161,32.010645,17.537097,99.579032,2.479677
2001.000000,-36.750000,-62.250000,23.984516,31.017419,16.963871,99.573871,2.479677
2001.000000,-36.750000,-61.750000,23.285806,30.174516,16.320323,99.506129,2.537419
2001.000000,-36.750000,-61.250000,22.711613,29.538710,15.612581,99.571613,2.537419
2001.000000,-36.250000,-63.250000,25.453871,32.858710,18.173226,99.608710,2.399355
2001.000000,-36.250000,-62.750000,24.813871,32.055484,17.661935,99.752258,2.479677
2001.000000,-36.250000,-62.250000,24.130000,31.150000,17.132903,99.824194,2.479677
2001.000000,-36.250000,-61.750000,23.486452,30.196452,16.624194,99.867742,2.537419
2001.000000,-36.250000,-61.250000,22.926452,29.402903,15.973871,99.924194,2.537419
2002.000000,-40.750000,-63.250000,22.874516,29.337097,16.321613,100.668065,2.037097
2002.000000,-40.750000,-62.750000,22.094194,27.243226,17.076129,100.869355,2.155161
2002.000000,-40.750000,-62.250000,20.989355,24.235161,17.957742,101.034839,2.155161
2002.000000,-40.750000,-61.750000,19.911613,21.539355,18.454194,101.134194,2.284194
2002.000000,-40.750000,-61.250000,19.282581,20.454839,18.267742,101.159032,2.284194
2002.000000,-40.250000,-63.250000,24.085806,31.671613,16.488387,100.598065,2.037097
2002.000000,-40.250000,-62.750000,23.359032,29.844516,17.096774,100.821290,2.155161
2002.000000,-40.250000,-62.250000,22.197742,26.465806,18.183871,101.012903,2.155161
2002.000000,-40.250000,-61.750000,20.893871,22.841613,19.081935,101.133226,2.284194
2002.000000,-40.250000,-61.250000,20.011613,21.346452,18.844516,101.165806,2.284194
2002.000000,-39.750000,-63.250000,24.651290,32.555806,16.733548,100.542258,2.053226
2002.000000,-39.750000,-62.750000,24.070645,31.290968,17.112258,100.826129,2.169355
2002.000000,-39.750000,-62.250000,22.997097,28.071290,18.208387,101.025806,2.169355
2002.000000,-39.750000,-61.750000,21.677097,24.044194,19.405161,101.136452,2.289355
2002.000000,-39.750000,-61.250000,20.760645,22.327419,19.330323,101.174516,2.289355
2002.000000,-39.250000,-63.250000,24.871935,32.888065,16.903548,100.505484,2.053226
2002.000000,-39.250000,-62.750000,24.432581,31.947419,17.191290,100.809355,2.169355
2002.000000,-39.250000,-62.250000,23.590323,29.514516,17.935484,100.987742,2.169355
2002.000000,-39.250000,-61.750000,22.501935,26.342258,18.708710,101.047097,2.289355
2002.000000,-39.250000,-61.250000,21.655806,24.706129,18.551935,101.084516,2.289355
2002.000000,-38.750000,-63.250000,24.834194,32.793871,16.907742,100.301935,2.071613
2002.000000,-38.750000,-62.750000,24.339032,31.956452,16.900645,100.338065,2.108710
2002.000000,-38.750000,-62.250000,23.709032,30.690645,16.934839,100.236452,2.108710
2002.000000,-38.750000,-61.750000,22.959032,29.208065,16.808065,100.062581,2.141290
2002.000000,-38.750000,-61.250000,22.110000,27.968065,16.227097,100.085806,2.141290
2002.000000,-38.250000,-63.250000,24.309032,32.142258,16.396129,99.550968,2.071613
2002.000000,-38.250000,-62.750000,23.686774,31.475484,15.918387,99.158710,2.108710
2002.000000,-38.250000,-62.250000,22.992258,30.676129,15.392581,98.645161,2.108710
2002.000000,-38.250000,-61.750000,22.305484,29.804194,14.893548,98.302258,2.141290
2002.000000,-38.250000,-61.250000,21.784194,29.030000,14.597742,98.790645,2.141290
2002.000000,-37.750000,-63.250000,23.679355,31.339032,15.906129,99.079355,2.102581
2002.000000,-37.750000,-62.750000,23.044839,30.559677,15.421290,98.567419,2.118065
2002.000000,-37.750000,-62.250000,22.357742,29.758387,14.879032,98.050323,2.118065
2002.000000,-37.750000,-61.750000,21.821613,29.107097,14.464516,97.888387,2.208710
2002.000000,-37.750000,-61.250000,21.693226,28.833548,14.480645,98.635806,2.208710
2002.000000,-37.250000,-63.250000,23.376452,30.649677,15.988387,99.382581,2.102581
2002.000000,-37.250000,-62.750000,23.118710,30.283548,15.786452,99.208065,2.118065
2002.000000,-37.250000,-62.250000,22.753226,29.875161,15.435161,98.980968,2.118065
2002.000000,-37.250000,-61.750000,22.324839,29.370000,15.040000,98.887097,2.208710
2002.000000,-37.250000,-61.250000,22.052258,28.980000,14.840968,99.175806,2.208710
2002.000000,-36.750000,-63.250000,23.276129,30.272581,16.130000,99.670323,2.226452
2002.000000,-36.750000,-62.750000,23.347097,30.329355,16.133871,99.772581,2.277742
2002.000000,-36.750000,-62.250000,23.144839,30.065806,15.928065,99.753871,2.277742
2002.000000,-36.750000,-61.750000,22.668065,29.438387,15.518065,99.677742,2.320323
2002.000000,-36.750000,-61.250000,22.333226,29.027742,15.154516,99.734516,2.320323
2002.000000,-36.250000,-63.250000,23.166129,29.983871,16.162258,99.817742,2.226452
2002.000000,-36.250000,-62.750000,23.322258,30.256129,16.170000,99.945806,2.277742
2002.000000,-36.250000,-62.250000,23.184839,30.080645,16.034839,100.007097,2.277742
2002.000000,-36.250000,-61.750000,22.767742,29.408387,15.761613,100.040323,2.320323
2002.000000,-36.250000,-61.250000,22.449355,28.886452,15.431935,100.086774,2.320323
2003.000000,-40.750000,-63.250000,23.017097,29.661935,15.943548,100.366452,1.824839
2003.000000,-40.750000,-62.750000,22.104516,27.416774,16.588065,100.552581,1.890000
2003.000000,-40.750000,-62.250000,20.755806,24.066129,17.429677,100.707419,1.890000
2003.000000,-40.750000,-61.750000,19.451935,20.995806,17.943548,100.798065,2.031290
2003.000000,-40.750000,-61.250000,18.740323,19.838710,17.743871,100.811613,2.031290
2003.000000,-40.250000,-63.250000,24.488710,32.101935,16.420323,100.293226,1.824839
2003.000000,-40.250000,-62.750000,23.694839,30.340323,16.910645,100.500323,1.890000
2003.000000,-40.250000,-62.250000,22.283871,26.728387,17.886452,100.680968,1.890000
2003.000000,-40.250000,-61.750000,20.639032,22.634194,18.723548,100.794839,2.031290
2003.000000,-40.250000,-61.250000,19.550323,20.923226,18.449677,100.820645,2.031290
2003.000000,-39.750000,-63.250000,25.318710,33.121290,17.027419,100.234194,1.825484
2003.000000,-39.750000,-62.750000,24.788710,32.111935,17.339677,100.500323,1.920000
2003.000000,-39.750000,-62.250000,23.471290,28.723548,18.304839,100.688065,1.920000
2003.000000,-39.750000,-61.750000,21.700645,24.185161,19.362903,100.791290,2.098387
2003.000000,-39.750000,-61.250000,20.476774,22.268387,19.166774,100.825806,2.098387
2003.000000,-39.250000,-63.250000,25.838065,33.774516,17.497097,100.198387,1.825484
2003.000000,-39.250000,-62.750000,25.453226,33.107097,17.712258,100.481613,1.920000
2003.000000,-39.250000,-62.250000,24.452903,30.608065,18.387419,100.647097,1.920000
2003.000000,-39.250000,-61.750000,23.030000,27.081613,19.087419,100.701613,2.098387
2003.000000,-39.250000,-61.250000,21.863871,25.219032,18.760968,100.733871,2.098387
2003.000000,-38.750000,-63.250000,25.993226,33.969032,17.772903,100.002581,1.867419
2003.000000,-38.750000,-62.750000,25.598387,33.357097,17.775484,100.023871,1.900323
2003.000000,-38.750000,-62.250000,24.930000,32.147742,17.770645,99.910968,1.900323
2003.000000,-38.750000,-61.750000,24.025484,30.623226,17.528065,99.729677,1.951613
2003.000000,-38.750000,-61.250000,23.101613,29.529355,16.770323,99.743226,1.951613
2003.000000,-38.250000,-63.250000,25.586129,33.533226,17.528710,99.270000,1.867419
2003.000000,-38.250000,-62.750000,25.074839,33.048065,17.086774,98.868710,1.900323
2003.000000,-38.250000,-62.250000,24.375161,32.365806,16.438710,98.348387,1.900323
2003.000000,-38.250000,-61.750000,23.617097,31.641290,15.696452,97.997097,1.951613
2003.000000,-38.250000,-61.250000,23.199355,31.359355,15.222581,98.470645,1.951613
2003.000000,-37.750000,-63.250000,25.219677,33.224194,17.184194,98.809355,1.949032
2003.000000,-37.750000,-62.750000,24.565806,32.499355,16.642903,98.294194,1.969355
2003.000000,-37.750000,-62.250000,23.785806,31.711290,15.862903,97.774194,1.969355
2003.000000,-37.750000,-61.750000,23.141290,31.129355,15.121935,97.605161,2.040000
2003.000000,-37.750000,-61.250000,23.009032,31.144516,14.896129,98.341613,2.040000
2003.000000,-37.250000,-63.250000,25.510000,33.456774,17.457097,99.114516,1.949032
2003.000000,-37.250000,-62.750000,24.991290,32.840000,17.049355,98.939355,1.969355
2003.000000,-37.250000,-62.250000,24.288387,32.121290,16.352258,98.711613,1.969355
2003.000000,-37.250000,-61.750000,23.569355,31.430323,15.608065,98.616774,2.040000
2003.000000,-37.250000,-61.250000,23.036129,30.918710,15.139032,98.905484,2.040000
2003.000000,-36.750000,-63.250000,26.066452,33.947419,17.970000,99.404516,2.145806
2003.000000,-36.750000,-62.750000,25.610968,33.370968,17.624839,99.509032,2.164516
2003.000000,-36.750000,-62.250000,24.821290,32.475161,16.958387,99.494839,2.164516
2003.000000,-36.750000,-61.750000,23.889355,31.459032,16.164516,99.421290,2.163871
2003.000000,-36.750000,-61.250000,23.122258,30.680323,15.490968,99.482903,2.163871
2003.000000,-36.250000,-63.250000,26.364839,34.260000,18.273548,99.556774,2.145806
2003.000000,-36.250000,-62.750000,25.890645,33.714194,17.858710,99.690645,2.164516
2003.000000,-36.250000,-62.250000,25.093871,32.783548,17.197742,99.756129,2.164516
2003.000000,-36.250000,-61.750000,24.162258,31.599032,16.493548,99.795806,2.163871
2003.000000,-36.250000,-61.250000,23.271935,30.482258,15.795806,99.850645,2.163871
2004.000000,-40.750000,-63.250000,23.977419,31.481613,16.546774,100.727742,2.097097
2004.000000,-40.750000,-62.750000,22.657742,28.468387,17.096774,100.942581,2.224516
2004.000000,-40.750000,-62.250000,20.971935,24.351935,17.768710,101.118710,2.224516
2004.000000,-40.750000,-61.750000,19.487419,20.865484,18.106129,101.226452,2.332581
2004.000000,-40.750000,-61.250000,18.795484,19.746452,17.895161,101.254839,2.332581
2004.000000,-40.250000,-63.250000,25.282258,33.709677,16.930968,100.651935,2.097097
2004.000000,-40.250000,-62.750000,24.050000,31.140323,17.350968,100.885161,2.224516
